id,date,input,voters,imgur_id
198,"2016-08-18 10:34:29.777",down,[],vYt5Z3R
199,"2016-08-18 10:43:38.249",down,"[""44899988"", ""37516823""]",qJPOt9t
200,"2016-08-18 10:53:16.201",down,"[""28363092""]",qPIg8pK
201,"2016-08-18 11:00:53.744",down,"[""28363092""]",m9X8D3G
202,"2016-08-18 11:14:54.696",down,"[""84870041"", ""56861516""]",FTsQukG
203,"2016-08-18 11:23:25.681",down,[],S5vKtUj
204,"2016-08-18 11:34:04.063",down,"[""44323387"", ""91854127""]",03iIvlk
205,"2016-08-18 11:42:00.873",down,"[""49257792"", ""54250770""]",1iQyN3u
206,"2016-08-18 11:52:14.176",down,"[""75909405"", ""62565127""]",iGuudZ3
207,"2016-08-18 12:05:03.017",down,"[""90047605"", ""60253223""]",CN4ywrC
208,"2016-08-18 12:18:50.923",down,"[""120058537"", ""90273170""]",5Yi528S
209,"2016-08-18 12:28:38.237",down,"[""39288809""]",Lg7EtGr
210,"2016-08-18 12:36:47.474",down,"[""39288809"", ""89807222""]",53CUNwn
211,"2016-08-18 12:47:02.360",down,"[""39288809""]",P0rVVo6
212,"2016-08-18 12:57:31.919",down,"[""132429296"", ""124224622""]",GVN2hUx
213,"2016-08-18 13:08:15.300",down,"[""58749968"", ""69817152"", ""57827469""]",gAAHBA0
214,"2016-08-18 13:22:45.169",down,"[""35961909""]",faE110L
215,"2016-08-18 13:30:21.635",down,"[""49257792"", ""84870041"", ""40761218"", ""95487203"", ""88095025""]",YxXkiHu
216,"2016-08-18 13:38:23.791",down,"[""58749968""]",dBy75Oo
217,"2016-08-18 13:45:28.589",down,"[""58247358""]",IkEVt76
218,"2016-08-18 13:53:49.167",down,[],99YafqT
219,"2016-08-18 14:05:01.187",down,"[""40577252"", ""130882989""]",Z1RnsQ6
220,"2016-08-18 14:13:42.802",a,"[""75895448"", ""59418177"", ""128515402""]",7bQsTvH
221,"2016-08-18 14:23:26.020",a,"[""105496016"", ""83554097""]",oLtgLLe
222,"2016-08-18 14:33:11.115",a,"[""49257792"", ""61256900"", ""31864246"", ""26204263""]",Xqi3UMy
223,"2016-08-18 14:42:46.336",a,"[""57710864"", ""124224622""]",0BxJEWd
224,"2016-08-18 14:52:22.122",a,"[""58133840"", ""70422783""]",lwv4rVR
225,"2016-08-18 15:05:00.368",a,"[""132480260"", ""129160274"", ""100851956"", ""99426210"", ""123993807""]",hM5u2Uy
226,"2016-08-18 15:15:17.782",a,"[""86763848"", ""93738203"", ""100035397""]",EGQuFqZ
227,"2016-08-18 15:24:04.201",a,"[""49257792"", ""58749968""]",qFkrWWX
228,"2016-08-18 15:35:31.575",a,"[""100035397"", ""57334655""]",87jtFae
229,"2016-08-18 15:45:48.930",a,"[""131561683""]",ckpVeut
230,"2016-08-18 15:55:08.967",a,"[""92098884""]",JQEUiTR
231,"2016-08-18 16:05:10.794",a,"[""44314324""]",IPrRbzU
232,"2016-08-18 16:14:55.588",a,"[""89983848"", ""99291897""]",osYoHqz
233,"2016-08-18 16:26:59.920",a,"[""50761584"", ""117890715""]",mlOU8Ql
234,"2016-08-18 16:37:06.754",a,"[""23013534"", ""86130691"", ""57827469"", ""91796334""]",MlvzdNK
235,"2016-08-18 16:50:07.994",a,"[""57351763""]",jjZFQBn
236,"2016-08-18 16:56:20.291",a,"[""88880840"", ""72855482"", ""81757429"", ""84299423""]",lQb2FSc
237,"2016-08-18 17:08:38.366",a,"[""60760818"", ""43894958""]",ixhOH32
238,"2016-08-18 17:15:55.976",a,"[""117492657"", ""57585590""]",XbMrFmo
239,"2016-08-18 17:26:41.078",down,"[""58139537"", ""39127626""]",wE1Kdp6
240,"2016-08-18 17:37:12.179",down,"[""77784571""]",rMcRyXC
241,"2016-08-18 17:45:35.729",down,"[""69099091"", ""44099636"", ""67483486""]",Cws1dn3
242,"2016-08-18 17:53:18.080",down,"[""70647828"", ""92270310""]",lqpMFaq
243,"2016-08-18 18:12:09.100",down,"[""68605564""]",sGAPxva
244,"2016-08-18 18:23:37.024",down,"[""57351763"", ""132425876"", ""90312166""]",dNxRa6j
245,"2016-08-18 18:32:44.671",down,"[""39288809""]",xubCn9D
246,"2016-08-18 18:40:19.475",down,"[""27334697"", ""39288809"", ""101974965"", ""93114847""]",rUzsh5L
247,"2016-08-18 18:50:07.648",down,"[""84870041"", ""43605428"", ""35072108"", ""58861279""]",jEi0c9f
248,"2016-08-18 19:00:20.468",down,"[""58139537"", ""37821777"", ""48512193"", ""47429659"", ""91476375""]",V9v9mU7
249,"2016-08-18 19:13:07.061",down,"[""39127626"", ""23590557"", ""70422783""]",cujsSmZ
250,"2016-08-18 19:24:54.542",down,"[""128183026"", ""58087914"", ""131842292"", ""81246413""]",ypFZ3UG
251,"2016-08-18 19:35:28.700",down,"[""57351763"", ""131842292"", ""47592111"", ""112265911""]",Sbiae7o
252,"2016-08-18 19:45:37.439",down,"[""87361645"", ""89162390"", ""123993807""]",7gKoeYC
253,"2016-08-18 19:56:17.256",down,"[""54750144"", ""127562961"", ""40761218"", ""23590557""]",no1yNWI
254,"2016-08-18 20:11:20.487",down,"[""116418994"", ""47355723"", ""132425876""]",X9XCmyf
255,"2016-08-18 20:20:02.487",down,"[""72283721"", ""116418994"", ""37821777""]",JCKJ96f
256,"2016-08-18 20:29:12.169",down,"[""100661442"", ""51810334""]",29pYaaB
257,"2016-08-18 20:41:02.131",down,"[""58749968"", ""78045900"", ""40761218"", ""56861516"", ""56948476""]",STRGEdo
258,"2016-08-18 20:47:13.290",down,"[""48632538"", ""56861516"", ""116418994""]",vGslygi
259,"2016-08-18 20:56:15.246",a,"[""49257792"", ""44168260"", ""57746613"", ""88178470""]",XECtdpA
260,"2016-08-18 21:10:12.741",a,"[""106600358"", ""121307303""]",nhI9u4z
261,"2016-08-18 21:18:49.812",a,"[""42854832"", ""123214648"", ""63813413"", ""49743678"", ""56868751""]",3lEdCfi
