id,date,input,voters,imgur_id
534,"2016-02-13 16:55:29.223",a,[],
535,"2016-02-13 16:59:38.263",a,[],
536,"2016-02-13 17:03:47.282",a,[],
537,"2016-02-13 17:07:56.304",a,[],
538,"2016-02-13 17:12:05.323",a,[],
539,"2016-02-13 17:16:14.364",a,[],
540,"2016-02-13 17:20:23.387",a,[],
541,"2016-02-13 17:24:32.425",a,[],
542,"2016-02-13 17:28:41.475",a,[],
543,"2016-02-13 17:32:50.512",a,[],
544,"2016-02-13 17:36:59.524",a,[],
545,"2016-02-13 17:41:08.524",a,[],
546,"2016-02-13 17:45:17.563",a,[],
547,"2016-02-13 17:49:26.578",a,[],
548,"2016-02-13 17:53:35.597",a,[],
549,"2016-02-13 17:57:44.636",a,[],
550,"2016-02-13 18:01:53.656",a,[],
551,"2016-02-13 18:06:02.695",a,[],
552,"2016-02-13 18:10:11.716",a,[],
553,"2016-02-13 18:14:20.716",a,[],
554,"2016-02-13 18:18:29.737",a,[],
555,"2016-02-13 18:22:38.766",a,[],
556,"2016-02-13 18:26:47.841",a,[],
557,"2016-02-13 18:30:56.879",a,[],
558,"2016-02-13 18:35:05.927",a,[],
559,"2016-02-13 18:39:14.969",a,[],
560,"2016-02-13 18:43:24.020",a,[],
561,"2016-02-13 18:47:33.028",a,[],
562,"2016-02-13 18:51:42.068",a,[],
563,"2016-02-13 18:55:51.039",a,[],
564,"2016-02-13 19:00:00.025",a,[],
565,"2016-02-13 19:04:09.049",a,[],
566,"2016-02-13 19:08:18.064",a,[],
567,"2016-02-13 19:12:27.089",a,[],
568,"2016-02-13 19:16:36.089",a,[],
569,"2016-02-13 19:20:45.093",a,[],
570,"2016-02-13 19:24:54.090",a,[],
571,"2016-02-13 19:29:03.149",a,[],
572,"2016-02-13 19:33:12.169",a,[],
573,"2016-02-13 19:37:21.212",a,[],
574,"2016-02-13 19:41:30.210",a,"[""110474331""]",
575,"2016-02-13 19:45:39.202",a,"[""56394496""]",
576,"2016-02-13 19:49:48.250",a,[],
577,"2016-02-13 19:53:57.239",a,[],
578,"2016-02-13 19:58:06.273",a,[],
579,"2016-02-13 20:02:15.321",a,"[""30640450""]",
580,"2016-02-13 20:06:24.341",a,[],
581,"2016-02-13 20:10:33.361",a,[],
582,"2016-02-13 20:14:42.352",a,[],
583,"2016-02-13 20:18:51.392",a,[],
584,"2016-02-13 20:23:00.435",a,"[""87172121"", ""102360453""]",
585,"2016-02-13 20:27:09.520",a,"[""110474331""]",
